Mes,Saldo Anterior,Bono Mensual,Interés,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
107,61838.0,0.0,445.0,0.0,-62.0,62221.0
108,62221.0,0.0,448.0,-564.0,-63.0,62042.0
109,62042.0,0.0,447.0,0.0,-62.0,62427.0
110,62427.0,0.0,449.0,0.0,-63.0,62813.0
111,62813.0,0.0,452.0,-569.0,-63.0,62633.0
112,62633.0,0.0,451.0,0.0,-63.0,63021.0
113,63021.0,0.0,454.0,0.0,-63.0,63412.0
114,63412.0,0.0,457.0,-575.0,-64.0,63230.0
115,63230.0,0.0,455.0,0.0,-64.0,63621.0
116,63621.0,0.0,458.0,0.0,-64.0,64015.0
117,64015.0,0.0,461.0,-580.0,-64.0,63832.0
118,63832.0,0.0,460.0,0.0,-64.0,64228.0
119,64228.0,0.0,462.0,0.0,-65.0,64625.0
120,64625.0,0.0,465.0,-586.0,-65.0,64439.0
121,64439.0,0.0,464.0,0.0,-65.0,64838.0
122,64838.0,0.0,467.0,0.0,-65.0,65240.0
123,65240.0,0.0,470.0,-591.0,-66.0,65053.0
124,65053.0,0.0,468.0,0.0,-66.0,65455.0
125,65455.0,0.0,471.0,0.0,-66.0,65860.0
126,65860.0,0.0,474.0,-597.0,-66.0,65671.0
127,65671.0,0.0,473.0,0.0,-66.0,66078.0
128,66078.0,0.0,476.0,0.0,-67.0,66487.0
129,66487.0,0.0,479.0,-603.0,-67.0,66296.0
130,66296.0,0.0,477.0,0.0,-67.0,66706.0
131,66706.0,0.0,480.0,0.0,-67.0,67119.0
132,67119.0,0.0,483.0,-608.0,-68.0,66926.0
133,66926.0,0.0,482.0,0.0,-67.0,67341.0
134,67341.0,0.0,485.0,0.0,-68.0,67758.0
135,67758.0,0.0,488.0,-614.0,-68.0,67564.0
136,67564.0,0.0,486.0,0.0,-68.0,67982.0
137,67982.0,0.0,489.0,0.0,-68.0,68403.0
138,68403.0,0.0,493.0,-620.0,-69.0,68207.0
139,68207.0,0.0,491.0,0.0,-69.0,68629.0
140,68629.0,0.0,494.0,0.0,-69.0,69054.0
141,69054.0,0.0,497.0,-626.0,-70.0,68855.0
142,68855.0,0.0,496.0,0.0,-69.0,69282.0
143,69282.0,0.0,499.0,0.0,-70.0,69711.0
144,69711.0,0.0,502.0,-632.0,-70.0,69511.0
145,69511.0,0.0,500.0,0.0,-70.0,69941.0
146,69941.0,0.0,504.0,0.0,-70.0,70375.0
147,70375.0,0.0,507.0,-638.0,-71.0,70173.0
148,70173.0,0.0,505.0,0.0,-71.0,70607.0
149,70607.0,0.0,508.0,0.0,-71.0,71044.0
150,71044.0,0.0,512.0,-644.0,-72.0,70840.0
151,70840.0,0.0,510.0,0.0,-71.0,71279.0
152,71279.0,0.0,513.0,0.0,-72.0,71720.0
153,71720.0,0.0,516.0,-650.0,-72.0,71514.0
154,71514.0,0.0,515.0,0.0,-72.0,71957.0
155,71957.0,0.0,518.0,0.0,-72.0,72403.0
156,72403.0,0.0,521.0,-656.0,-73.0,72195.0
157,72195.0,0.0,520.0,0.0,-73.0,72642.0
158,72642.0,0.0,523.0,0.0,-73.0,73092.0
159,73092.0,0.0,526.0,-663.0,-74.0,72881.0
160,72881.0,0.0,525.0,0.0,-73.0,73333.0
161,73333.0,0.0,528.0,0.0,-74.0,73787.0
162,73787.0,0.0,531.0,-669.0,-74.0,73575.0
163,73575.0,0.0,530.0,0.0,-74.0,74031.0
164,74031.0,0.0,533.0,0.0,-75.0,74489.0
165,74489.0,0.0,536.0,-675.0,-75.0,74275.0
166,74275.0,0.0,535.0,0.0,-75.0,74735.0
167,74735.0,0.0,538.0,0.0,-75.0,75198.0
168,75198.0,0.0,541.0,-682.0,-76.0,74981.0
169,74981.0,0.0,540.0,0.0,-76.0,75445.0
170,75445.0,0.0,543.0,0.0,-76.0,75912.0
171,75912.0,0.0,547.0,-688.0,-76.0,75695.0
172,75695.0,0.0,545.0,0.0,-76.0,76164.0
173,76164.0,0.0,548.0,0.0,-77.0,76635.0
174,76635.0,0.0,552.0,-695.0,-77.0,76415.0
175,76415.0,0.0,550.0,0.0,-77.0,76888.0
176,76888.0,0.0,554.0,0.0,-77.0,77365.0
