Mes,Saldo Anterior,Aportación,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
99,123013.0,0.0,984.0,0,-1284.0,-144.0,122569.0
100,122569.0,0.0,981.0,0,0.0,-143.0,123407.0
101,123407.0,0.0,987.0,0,0.0,-144.0,124250.0
102,124250.0,0.0,994.0,0,-1297.0,-145.0,123802.0
103,123802.0,0.0,990.0,0,0.0,-145.0,124647.0
104,124647.0,0.0,997.0,0,0.0,-146.0,125498.0
105,125498.0,0.0,1004.0,0,-1310.0,-147.0,125045.0
106,125045.0,0.0,1000.0,0,0.0,-146.0,125899.0
107,125899.0,0.0,1007.0,0,0.0,-147.0,126759.0
108,126759.0,0.0,1014.0,0,-1323.0,-148.0,126302.0
109,126302.0,0.0,1010.0,0,0.0,-148.0,127164.0
110,127164.0,0.0,1017.0,0,0.0,-149.0,128032.0
111,128032.0,0.0,1024.0,0,-1337.0,-150.0,127569.0
112,127569.0,0.0,1021.0,0,0.0,-149.0,128441.0
113,128441.0,0.0,1028.0,0,0.0,-150.0,129319.0
114,129319.0,0.0,1035.0,0,-1350.0,-151.0,128853.0
115,128853.0,0.0,1031.0,0,0.0,-151.0,129733.0
116,129733.0,0.0,1038.0,0,0.0,-152.0,130619.0
117,130619.0,0.0,1045.0,0,-1364.0,-153.0,130147.0
118,130147.0,0.0,1041.0,0,0.0,-152.0,131036.0
119,131036.0,0.0,1048.0,0,0.0,-153.0,131931.0
120,131931.0,0.0,1055.0,0,-1377.0,-154.0,131455.0
121,131455.0,0.0,1052.0,0,0.0,-154.0,132353.0
122,132353.0,0.0,1059.0,0,0.0,-155.0,133257.0
123,133257.0,0.0,1066.0,0,-1391.0,-156.0,132776.0
124,132776.0,0.0,1062.0,0,0.0,-155.0,133683.0
125,133683.0,0.0,1069.0,0,0.0,-156.0,134596.0
126,134596.0,0.0,1077.0,0,-1405.0,-157.0,134111.0
127,134111.0,0.0,1073.0,0,0.0,-157.0,135027.0
128,135027.0,0.0,1080.0,0,0.0,-158.0,135949.0
129,135949.0,0.0,1088.0,0,-1419.0,-159.0,135459.0
130,135459.0,0.0,1084.0,0,0.0,-158.0,136385.0
131,136385.0,0.0,1091.0,0,0.0,-159.0,137317.0
132,137317.0,0.0,1099.0,0,-1434.0,-161.0,136821.0
133,136821.0,0.0,1095.0,0,0.0,-160.0,137756.0
134,137756.0,0.0,1102.0,0,0.0,-161.0,138697.0
135,138697.0,0.0,1110.0,0,-1448.0,-162.0,138197.0
136,138197.0,0.0,1106.0,0,0.0,-162.0,139141.0
137,139141.0,0.0,1113.0,0,0.0,-163.0,140091.0
138,140091.0,0.0,1121.0,0,-1463.0,-164.0,139585.0
139,139585.0,0.0,1117.0,0,0.0,-163.0,140539.0
