Mes,Saldo Anterior,Aportación,Bono,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
71,353046.4800893792,6378.369625632378,0,2875.0,-159.0,0,-420.0,361720.84971501154
72,361720.84971501154,6378.369625632378,0,2945.0,-159.0,0,-430.0,370455.2193406439
73,370455.2193406439,6378.369625632378,0,3015.0,-167.0,0,-440.0,379241.58896627626
74,379241.58896627626,6696.650269951434,0,3088.0,-167.0,0,-451.0,388408.2392362277
75,388408.2392362277,6696.650269951434,0,3161.0,-167.0,0,-462.0,397636.88950617914
76,397636.88950617914,6696.650269951434,0,3235.0,-167.0,0,-473.0,406928.5397761306
77,406928.5397761306,6696.650269951434,0,3309.0,-167.0,0,-483.0,416284.190046082
78,416284.190046082,6696.650269951434,0,3384.0,-167.0,0,-494.0,425703.84031603346
79,425703.84031603346,6696.650269951434,0,3459.0,-167.0,0,-505.0,435187.4905859849
80,435187.4905859849,6696.650269951434,0,3535.0,-167.0,0,-516.0,444736.14085593633
81,444736.14085593633,6696.650269951434,0,3611.0,-167.0,0,-528.0,454348.7911258878
82,454348.7911258878,6696.650269951434,0,3688.0,-167.0,0,-539.0,464027.4413958392
83,464027.4413958392,6696.650269951434,0,3766.0,-167.0,0,-550.0,473773.09166579065
84,473773.09166579065,6696.650269951434,0,3844.0,-167.0,0,-562.0,483584.7419357421
85,483584.7419357421,6696.650269951434,0,3922.0,-176.0,0,-573.0,493454.3922056935
86,493454.3922056935,7030.813118422011,0,4004.0,-176.0,0,-585.0,503728.2053241155
87,503728.2053241155,7030.813118422011,0,4086.0,-176.0,0,-597.0,514072.0184425375
88,514072.0184425375,7030.813118422011,0,4169.0,-176.0,0,-609.0,524486.8315609596
89,524486.8315609596,7030.813118422011,0,4252.0,-176.0,0,-621.0,534972.6446793816
90,534972.6446793816,7030.813118422011,0,4336.0,-176.0,0,-634.0,545529.4577978037
91,545529.4577978037,7030.813118422011,0,4420.0,-176.0,0,-646.0,556158.2709162257
92,556158.2709162257,7030.813118422011,0,4506.0,-176.0,0,-658.0,566861.0840346478
93,566861.0840346478,7030.813118422011,0,4591.0,-176.0,0,-671.0,577635.8971530698
94,577635.8971530698,7030.813118422011,0,4677.0,-176.0,0,-683.0,588484.7102714919
95,588484.7102714919,7030.813118422011,0,4764.0,-176.0,0,-696.0,599407.523389914
96,599407.523389914,7030.813118422011,0,4852.0,-176.0,0,-709.0,610405.336508336
97,610405.336508336,7030.813118422011,0,4939.0,-185.0,0,-722.0,621468.1496267581
98,621468.1496267581,7381.65069303127,0,5031.0,-185.0,0,-735.0,632960.8003197893
99,632960.8003197893,7381.65069303127,0,5123.0,-185.0,0,-749.0,644531.4510128206
100,644531.4510128206,7381.65069303127,0,5215.0,-185.0,0,-762.0,656181.1017058518
101,656181.1017058518,7381.65069303127,0,5309.0,-185.0,0,-776.0,667910.7523988831
102,667910.7523988831,7381.65069303127,0,5402.0,-185.0,0,-789.0,679720.4030919144
103,679720.4030919144,7381.65069303127,0,5497.0,-185.0,0,-803.0,691611.0537849456
104,691611.0537849456,7381.65069303127,0,5592.0,-185.0,0,-817.0,703582.7044779769
105,703582.7044779769,7381.65069303127,0,5688.0,-185.0,0,-831.0,715636.3551710082
